@relation autoMPG6
@attribute Displacement real[68.0,455.0]
@attribute Horse_power integer[46,230]
@attribute Weight integer[1613,5140]
@attribute Acceleration real[8.0,24.8]
@attribute Model_year integer[70,82]
@attribute Mpg real[9.0,46.6]
@inputs Displacement, Horse_power, Weight, Acceleration, Model_year
@outputs Mpg
@data
90, 48, 1985, 21.5, 78, 43.1
83, 61, 2003, 19, 74, 32
97, 75, 2171, 16, 75, 29
171, 97, 2984, 14.5, 75, 18
304, 150, 3672, 11.5, 72, 17
250, 72, 3158, 19.5, 75, 15
400, 170, 4746, 12, 71, 13
120, 97, 2489, 15, 74, 24
135, 84, 2370, 13, 82, 36
89, 60, 1968, 18.8, 80, 38.1
119, 92, 2434, 15, 80, 37
351, 152, 4215, 12.8, 76, 14.5
318, 210, 4382, 13.5, 70, 11
135, 84, 2490, 15.7, 81, 27.2
231, 110, 3039, 15, 75, 21
200, 88, 3060, 17.1, 81, 20.2
183, 77, 3530, 20.1, 79, 25.4
151, 90, 2735, 18, 82, 27
91, 68, 2025, 18.2, 82, 37
107, 86, 2464, 15.5, 76, 28
135, 84, 2295, 11.6, 82, 32
108, 75, 2350, 16.8, 81, 32.4
105, 74, 2190, 14.2, 81, 33
262, 85, 3015, 17, 82, 38
71, 65, 1773, 19, 71, 31
85, 52, 2035, 22.2, 76, 29
232, 100, 2914, 16, 75, 20
98, 70, 2120, 15.5, 80, 32.1
225, 110, 3360, 16.6, 79, 20.6
105, 63, 2215, 14.9, 81, 34.7
140, 92, 2865, 16.4, 82, 24
108, 93, 2391, 15.5, 74, 26
116, 81, 2220, 16.9, 76, 25
225, 95, 3264, 16, 75, 19
302, 140, 3449, 10.5, 70, 17
97, 88, 2279, 19, 73, 20
90, 75, 2108, 15.5, 74, 24
97, 92, 2288, 17, 72, 28
121, 110, 2600, 12.8, 77, 21.5
156, 92, 2620, 14.4, 81, 25.8
250, 88, 3302, 15.5, 71, 19
351, 149, 4335, 14.5, 77, 16
350, 145, 4082, 13, 73, 15
141, 80, 3230, 20.4, 81, 28.1
305, 145, 3880, 12.5, 77, 17.5
302, 129, 3169, 12, 75, 13
360, 215, 4615, 14, 70, 10
135, 84, 2525, 16, 82, 29
90, 48, 2085, 21.7, 80, 44.3
318, 150, 4135, 13.5, 72, 15
140, 92, 2572, 14.9, 76, 25
98, 76, 2144, 14.7, 80, 41.5
318, 140, 3735, 13.2, 78, 19.4
151, 90, 2670, 16, 79, 28.4
140, 83, 2639, 17, 75, 23
340, 160, 3609, 8, 70, 14
114, 91, 2582, 14, 73, 20
302, 137, 4042, 14.5, 73, 14
318, 150, 4077, 14, 72, 14
250, 110, 3520, 16.4, 77, 17.5
68, 49, 1867, 19.5, 73, 29
307, 200, 4376, 15, 70, 10
98, 70, 2125, 17.3, 82, 36
350, 165, 4274, 12, 72, 13
70, 100, 2420, 12.5, 80, 23.7
97, 67, 1985, 16.4, 77, 30
113, 95, 2228, 14, 71, 25
260, 110, 3365, 15.5, 78, 19.9
120, 79, 2625, 18.6, 82, 28
383, 170, 3563, 10, 70, 15
130, 102, 3150, 15.7, 76, 20
318, 150, 4096, 13, 71, 14
104, 95, 2375, 17.5, 70, 25
250, 100, 3329, 15.5, 71, 17
91, 67, 1965, 15, 82, 38
105, 63, 2125, 14.7, 82, 38
360, 175, 3821, 11, 73, 13
350, 155, 4360, 14.9, 79, 16.9
91, 53, 1795, 17.5, 75, 33
