@relation autoMPG6
@attribute Displacement real[68.0,455.0]
@attribute Horse_power integer[46,230]
@attribute Weight integer[1613,5140]
@attribute Acceleration real[8.0,24.8]
@attribute Model_year integer[70,82]
@attribute Mpg real[9.0,46.6]
@inputs Displacement, Horse_power, Weight, Acceleration, Model_year
@outputs Mpg
@data
145, 76, 3160, 19.6, 81, 30.7
70, 97, 2330, 13.5, 72, 19
98, 65, 2380, 20.7, 81, 29.9
199, 97, 2774, 15.5, 70, 18
400, 150, 3761, 9.5, 70, 15
163, 133, 3410, 15.8, 78, 16.2
98, 63, 2051, 17, 77, 30.5
107, 90, 2430, 14.5, 70, 24
105, 70, 2200, 13.2, 79, 34.2
318, 150, 4190, 13, 76, 16
140, 90, 2264, 15.5, 71, 28
120, 75, 2542, 17.5, 80, 31.3
200, 85, 2965, 15.8, 78, 20.2
168, 132, 2910, 11.4, 80, 32.7
79, 58, 1755, 16.9, 81, 39.1
232, 90, 3265, 18.2, 79, 20.2
120, 74, 2635, 18.3, 81, 31.6
360, 150, 3940, 13, 79, 18.5
98, 60, 2164, 22.1, 76, 24.5
98, 68, 2045, 18.5, 77, 31.5
121, 110, 2660, 14, 73, 24
91, 68, 1985, 16, 81, 34.1
122, 85, 2310, 18.5, 73, 19
455, 225, 4951, 11, 73, 12
231, 105, 3425, 16.9, 77, 20.5
119, 97, 2545, 17, 75, 24
119, 97, 2405, 14.9, 78, 23.9
304, 150, 3672, 11.5, 73, 14
163, 125, 3140, 13.6, 78, 17
97, 71, 1825, 12.2, 76, 29.5
198, 95, 2904, 16, 73, 23
97, 88, 2100, 16.5, 72, 27
305, 145, 3425, 13.2, 78, 19.2
400, 175, 5140, 12, 71, 13
250, 105, 3459, 16, 75, 18
250, 98, 3525, 19, 77, 18.5
181, 110, 2945, 16.4, 82, 25
120, 97, 2506, 14.5, 72, 23
97.5, 80, 2126, 17, 72, 25
351, 158, 4363, 13, 73, 13
350, 145, 4440, 14, 75, 15
225, 110, 3620, 18.7, 78, 18.6
429, 208, 4633, 11, 72, 11
86, 64, 1875, 16.4, 81, 39
131, 103, 2830, 15.9, 78, 20.3
141, 71, 3190, 24.8, 79, 27.2
108, 75, 2265, 15.2, 80, 32.2
140, 90, 2408, 19.5, 72, 20
351, 153, 4154, 13.5, 71, 14
96, 69, 2189, 18, 72, 26
250, 100, 3282, 15, 71, 19
98, 79, 2255, 17.7, 76, 26
119, 100, 2615, 14.8, 81, 32.9
97, 46, 1835, 20.5, 70, 26
120, 88, 3270, 21.9, 76, 19
173, 110, 2725, 12.6, 81, 23.5
91, 68, 1970, 17.6, 82, 31
225, 85, 3465, 16.6, 81, 17.6
134, 95, 2560, 14.2, 78, 27.5
302, 140, 4141, 14, 74, 16
122, 86, 2395, 16, 72, 22
350, 160, 4456, 13.5, 72, 12
120, 88, 2160, 14.5, 82, 36
232, 112, 2835, 14.7, 82, 22
108, 70, 2245, 16.9, 82, 34
119, 82, 2720, 19.4, 82, 31
250, 100, 3278, 18, 73, 16
98, 68, 2155, 16.5, 78, 30
198, 95, 2833, 15.5, 70, 22
119, 97, 2300, 14.7, 78, 27.2
97, 78, 2300, 14.5, 74, 26
440, 215, 4735, 11, 73, 13
144, 96, 2665, 13.9, 82, 32
98, 90, 2265, 15.5, 73, 26
97, 75, 2265, 18.2, 77, 26
429, 198, 4952, 11.5, 73, 12
318, 150, 4237, 14.5, 73, 14
76, 52, 1649, 16.5, 74, 31
