building_id,damage_grade
300051,3
99355,2
890251,1
745817,1
421793,3
871976,2
691228,1
896100,2
343471,2
766647,1
800548,1
652685,2
590834,2
612530,2
535718,1
269418,2
281421,2
797571,2
216579,2
81554,2
132785,2
976125,2
851237,1
322922,2
786774,2
922680,2
134349,3
551456,2
194812,2
520031,2
765502,3
517764,2
174470,2
395012,2
159776,1
62638,2
65760,1
761527,2
37201,2
853163,2
562505,1
349010,3
780817,2
179897,2
845103,2
171560,1
586661,2
84102,1
610806,1
269531,2
3781,2
127674,2
820462,2
955190,1
405557,1
143219,3
360041,1
378036,2
613583,2
992040,2
849585,2
491236,2
847580,2
229211,3
173624,1
642562,2
86467,2
684629,2
304627,1
255913,1
861624,2
367328,1
13216,2
838446,1
981040,2
335849,2
823769,2
666855,2
398783,2
829946,1
326177,3
359387,2
924578,1
712624,1
946541,2
373943,2
865274,1
522404,2
841632,2
649142,2
332157,1
722082,1
279597,2
107512,2
26477,2
138895,2
553866,2
157718,3
582842,3
123399,2
189875,1
70843,1
225218,1
703273,2
245176,2
760257,2
641933,1
76772,2
302226,1
535232,2
311900,2
859468,2
496582,2
970295,1
38184,1
533972,2
787930,1
706637,2
684359,2
744804,1
675284,2
900064,2
13833,2
483231,1
993785,2
91756,2
116435,2
27649,1
806119,1
527762,1
119879,2
521901,2
960588,2
150992,1
136949,2
681857,3
676342,1
85413,2
242230,2
46916,3
343837,2
693348,2
826208,2
639042,2
180348,2
997642,2
1014983,2
995476,2
599482,2
405738,2
209844,1
51119,1
1009242,2
260072,1
504317,2
678345,2
96671,1
738466,2
475174,1
767788,1
73477,1
140388,3
514634,2
59716,2
1038485,2
531485,2
666051,3
799813,2
420703,2
589536,2
661373,2
183074,3
875195,2
734876,2
988161,2
596967,3
370776,3
422000,1
829879,2
622400,2
789622,1
780895,1
14602,2
988846,2
1052375,1
101200,2
1005009,3
892887,2
582579,2
643663,2
420773,2
593771,2
678254,1
842277,2
797666,2
247831,2
987658,1
738804,2
803821,2
450829,1
490713,2
317799,2
260213,2
563507,2
890921,2
358475,1
877097,2
611331,2
140112,2
489116,2
751219,2
637592,1
363399,2
349807,2
1010213,2
274275,1
422044,1
635742,1
162240,1
380659,3
39235,2
594817,2
276267,2
622421,2
411651,3
528011,2
851293,2
669376,2
1753,1
638718,2
751101,3
559460,2
76515,1
80460,1
553776,2
312150,1
772309,1
437345,1
487537,2
393387,2
891125,1
1023631,2
107261,1
126191,2
137116,2
929006,2
222150,2
910002,2
86044,1
176074,2
153074,1
610702,1
856941,2
617478,2
485928,2
922208,1
306370,2
236678,2
419900,2
699568,2
771219,2
991482,1
211384,2
607193,2
911675,1
526435,2
303475,2
592882,2
715235,3
493169,2
981940,2
991842,2
942957,1
547080,2
636191,1
823756,2
151559,2
467575,1
17506,2
356258,1
235542,2
950690,2
715814,1
755888,1
550420,2
447977,1
490413,2
497546,2
975798,2
27136,2
705001,1
827358,2
812768,3
198545,2
69810,1
687284,2
169271,1
560991,2
89659,1
196494,2
978469,2
541401,2
762181,3
887981,1
974381,2
214827,2
14115,1
150603,2
236827,1
