Id,Label,timeset,target,componentnumber,degree,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,Cluster
0,0,,8,0,1,0,0,11,0.176929,0.182724,0,0.000828,4,6
1,1,,17,0,10,0.022222,1,9,0.210621,0.225285,66996.255307,0.010256,2,0
2,2,,3,0,7,0.190476,4,11,0.169088,0.176742,2082.850164,0.004519,8,4
3,3,,17,0,18,0.24183,37,10,0.217365,0.232917,20615.10182,0.025998,9,0
4,4,,5,0,1,0,0,12,0.143136,0.14753,0,0.000425,0,5
5,5,,17,0,1,0,0,9,0.21865,0.229357,0,0.004743,4,0
6,6,,3,0,20,0.189474,36,11,0.195924,0.207342,62163.865894,0.015183,8,4
7,7,,6,0,8,0.035714,1,10,0.223758,0.238043,60154.895638,0.013004,0,5
8,8,,0,0,1,0,0,11,0.160033,0.165276,0,0.000372,2,3
9,9,,3,0,8,0.107143,3,10,0.203725,0.213129,20477.977219,0.005255,8,4
10,10,,17,0,1,0,0,10,0.1916,0.198543,0,0.000843,0,5
11,11,,0,0,5,0.2,2,11,0.189044,0.199037,1405.970057,0.006175,3,2
12,12,,17,0,2,1,1,10,0.210691,0.222613,0,0.0087,9,0
13,13,,15,0,29,0.317734,129,10,0.219014,0.234921,22900.125846,0.1212,1,1
14,14,,17,0,4,0.833333,5,11,0.178358,0.185852,8.64788,0.003658,9,0
15,15,,17,0,5,0.3,3,10,0.220445,0.236608,2999.580318,0.021897,9,0
16,16,,10,0,34,0.240642,135,10,0.234872,0.256339,46774.249244,0.119984,5,1
17,17,,0,0,7,0.714286,15,10,0.224278,0.239746,235.336584,0.076138,3,2
18,18,,17,0,24,0.036232,10,9,0.222472,0.240036,42606.182075,0.031928,9,0
19,19,,10,0,4,0.166667,1,12,0.160542,0.166984,2507.085994,0.001529,5,1
20,20,,14,0,6,0,0,9,0.214081,0.226687,17521.983607,0.00869,2,3
21,21,,13,0,2,0,0,12,0.15503,0.159406,2.408333,0.001497,6,9
22,22,,17,0,1,0,0,10,0.215473,0.227967,0,0.009153,9,0
23,23,,10,0,5,0,0,10,0.205632,0.215017,6946.713928,0.00368,5,1
24,24,,10,0,1,0,0,13,0.147664,0.152638,0,0.000658,5,10
25,25,,0,0,1,0,0,10,0.214751,0.22676,0,0.014744,3,2
26,26,,3,0,1,0,0,13,0.145427,0.149334,0,0.00034,8,4
27,27,,10,0,7,0.142857,3,11,0.195136,0.20803,8743.324327,0.011061,5,1
28,28,,14,0,3,0,0,10,0.221348,0.237394,3474.567215,0.024342,2,3
29,29,,2,0,8,0.678571,19,10,0.199252,0.208642,826.370278,0.011923,5,8
30,30,,0,0,8,0.178571,5,10,0.21175,0.225986,3070.777582,0.039223,3,2
31,31,,17,0,3,0.666667,2,10,0.211374,0.22385,111.249331,0.010067,9,0
32,32,,8,0,13,0.115385,9,10,0.208975,0.22311,30729.452064,0.014958,4,6
33,33,,10,0,24,0.257246,71,10,0.22916,0.24767,61908.816203,0.067142,5,1
34,34,,11,0,5,0.2,2,11,0.182731,0.191642,4065.734638,0.003739,7,7
35,35,,5,0,10,0.488889,22,11,0.192743,0.203004,2632.888913,0.008614,0,5
36,36,,10,0,1,0,0,12,0.163184,0.16972,0,0.000597,5,1
37,37,,17,0,1,0,0,11,0.182652,0.192491,0,0.001471,9,0
38,38,,10,0,7,0.095238,2,11,0.212269,0.225805,11969.115146,0.013995,5,1
39,39,,10,0,2,0,0,11,0.197861,0.211186,3.470392,0.011057,5,1
40,40,,0,0,4,0.166667,1,10,0.206709,0.220259,170.829749,0.022685,3,2
41,41,,15,0,7,0.52381,11,10,0.196921,0.210063,1139.574202,0.020168,1,1
42,42,,0,0,3,1,3,11,0.192442,0.202377,0,0.006462,3,2
43,43,,6,0,2,0,0,10,0.192044,0.200857,724.244094,0.001992,9,2
44,44,,0,0,7,0.238095,5,10,0.212127,0.227772,1121.436101,0.047032,3,2
45,45,,6,0,10,0.155556,7,10,0.208575,0.220445,6665.3206,0.009283,2,3
46,46,,8,0,2,1,1,11,0.158301,0.164214,0,0.001647,4,6
47,47,,8,0,21,0.566667,119,10,0.228404,0.243305,4218.26296,0.061944,4,6
48,48,,5,0,3,0.666667,2,11,0.169774,0.17711,278.989356,0.002063,0,5
49,49,,14,0,12,0.424242,28,9,0.21828,0.235229,2691.294079,0.058044,2,3
50,50,,16,0,1,0,0,11,0.156562,0.161096,0,0.000354,9,0
51,51,,14,0,1,0,0,12,0.135066,0.138045,0,0.00043,5,8
52,52,,14,0,2,0,0,10,0.208781,0.221615,2499.976489,0.008995,2,3
53,53,,17,0,3,0,0,10,0.187017,0.195876,5531.061692,0.002501,9,0
54,54,,10,0,28,0.177249,67,10,0.229906,0.252233,89676.438811,0.091175,5,1
55,55,,6,0,3,0.666667,2,10,0.176332,0.183764,0.5,0.001635,2,3
56,56,,17,0,6,0.466667,7,10,0.189452,0.198547,1854.240544,0.003502,9,0
57,57,,14,0,1,0,0,11,0.18489,0.19312,0,0.001883,3,2
58,58,,10,0,10,0.266667,12,11,0.204485,0.220011,845.528353,0.029047,5,1
59,59,,8,0,5,0.3,3,10,0.183886,0.192777,2177.559973,0.004445,4,6
60,60,,17,0,2,0,0,12,0.15037,0.155796,44.810052,0.000742,9,0
61,61,,6,0,2,0,0,11,0.182456,0.189662,715.4287,0.001075,2,5
62,62,,0,0,1,0,0,11,0.187491,0.195166,0,0.001271,3,2
63,63,,5,0,4,0.166667,1,11,0.178562,0.184946,14305.830303,0.001666,4,2
64,64,,10,0,2,0,0,11,0.184621,0.19297,48.11192,0.00203,5,1
65,65,,3,0,2,0,0,11,0.163233,0.168856,3427.512659,0.000863,4,6
66,66,,17,0,1,0,0,12,0.141594,0.144422,0,0.000343,8,4
67,67,,0,0,6,0.133333,2,11,0.185461,0.194715,12580.545268,0.00449,3,2
68,68,,10,0,10,0.088889,4,10,0.220752,0.235935,22727.797331,0.02275,5,1
